,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
47,2017.0,Joel Bolomboy,PF,23.0,12.0,19.7,4.416666666666667,1.8333333333333333,0.16666666666666666,1.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,1.312611
48,2017.0,Joel Bolomboy,PF,23.0,12.0,19.7,4.416666666666667,1.8333333333333333,0.16666666666666666,1.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.022248
49,2017.0,Devin Booker,SG,20.0,78.0,14.6,35.0,22.128205128205128,3.4358974358974357,3.1923076923076925,3.08974358974359,0.2692307692307692,0.9230769230769231,2.31936
50,2017.0,Trevor Booker,PF,29.0,71.0,15.7,24.704225352112676,9.985915492957746,1.943661971830986,8.028169014084508,1.7887323943661972,0.39436619718309857,1.0704225352112675,9.125
51,2017.0,Avery Bradley,SG,26.0,55.0,14.4,33.36363636363637,16.254545454545454,2.2,6.072727272727272,1.6,0.2,1.2363636363636363,8.808989
52,2017.0,Corey Brewer,SF,30.0,82.0,9.1,15.621951219512194,4.524390243902439,1.1829268292682926,2.024390243902439,0.6707317073170732,0.23170731707317074,0.7439024390243902,7.579366
53,2017.0,Malcolm Brogdon,SG,24.0,75.0,14.9,26.426666666666666,10.226666666666667,4.226666666666667,2.84,1.5066666666666666,0.16,1.12,1.312611
54,2017.0,Aaron Brooks,PG,32.0,65.0,9.5,13.753846153846155,4.953846153846154,1.9230769230769231,1.0615384615384615,1.0153846153846153,0.13846153846153847,0.38461538461538464,2.116955
55,2017.0,Bobby Brown,PG,32.0,25.0,10.8,4.92,2.48,0.56,0.24,0.2,0.0,0.04,1.524305
56,2017.0,Jaylen Brown,SF,20.0,78.0,10.3,17.192307692307693,6.602564102564102,0.8205128205128205,2.8205128205128207,0.8717948717948718,0.23076923076923078,0.44871794871794873,4.95648
57,2017.0,Nicolas Brussino,SF,23.0,54.0,10.7,9.648148148148149,2.7777777777777777,0.8703703703703703,1.7592592592592593,0.48148148148148145,0.14814814814814814,0.3148148148148148,1.312611
58,2017.0,Reggie Bullock,SF,25.0,31.0,11.7,15.064516129032258,4.548387096774194,0.9354838709677419,2.064516129032258,0.3225806451612903,0.0967741935483871,0.5806451612903226,2.5
59,2017.0,Trey Burke,PG,24.0,57.0,10.8,12.333333333333334,5.0,1.7543859649122806,0.8245614035087719,0.8421052631578947,0.08771929824561403,0.19298245614035087,0.78416
60,2017.0,Alec Burks,SG,25.0,42.0,11.6,15.547619047619047,6.738095238095238,0.7142857142857143,2.857142857142857,0.8333333333333334,0.11904761904761904,0.42857142857142855,10.845506
61,2017.0,Jimmy Butler,SF,27.0,76.0,25.1,36.96052631578947,23.894736842105264,5.4868421052631575,6.184210526315789,2.0921052631578947,0.42105263157894735,1.881578947368421,19.30107
62,2017.0,Bruno Caboclo,SF,21.0,9.0,14.6,4.444444444444445,1.5555555555555556,0.4444444444444444,1.1111111111111112,0.2222222222222222,0.1111111111111111,0.2222222222222222,2.451225
63,2017.0,Jose Calderon,PG,35.0,41.0,8.9,13.146341463414634,3.4390243902439024,2.1463414634146343,1.8048780487804879,1.0,0.024390243902439025,0.2682926829268293,2.328652
64,2017.0,Kentavious Caldwell-Pope,SG,23.0,76.0,12.8,33.276315789473685,13.776315789473685,2.539473684210526,3.263157894736842,1.131578947368421,0.15789473684210525,1.1710526315789473,17.745894
65,2017.0,Isaiah Canaan,SG,25.0,39.0,8.1,15.179487179487179,4.641025641025641,0.9487179487179487,1.2564102564102564,0.5128205128205128,0.02564102564102564,0.5641025641025641,1.069308
66,2017.0,Isaiah Canaan,SG,25.0,39.0,8.1,15.179487179487179,4.641025641025641,0.9487179487179487,1.2564102564102564,0.5128205128205128,0.02564102564102564,0.5641025641025641,0.2
67,2017.0,Isaiah Canaan,SG,25.0,39.0,8.1,15.179487179487179,4.641025641025641,0.9487179487179487,1.2564102564102564,0.5128205128205128,0.02564102564102564,0.5641025641025641,0.053465
68,2017.0,Clint Capela,C,22.0,65.0,21.4,23.861538461538462,12.584615384615384,0.9846153846153847,8.092307692307692,1.3384615384615384,1.2307692307692308,0.5230769230769231,2.33452
69,2017.0,DeMarre Carroll,SF,30.0,72.0,11.9,26.13888888888889,8.86111111111111,1.0277777777777777,3.8194444444444446,0.75,0.375,1.125,14.8
70,2017.0,Vince Carter,SF,40.0,73.0,11.7,24.643835616438356,8.027397260273972,1.821917808219178,3.1095890410958904,0.684931506849315,0.4931506849315068,0.821917808219178,8.0
71,2017.0,Michael Carter-Williams,PG,25.0,45.0,9.9,18.8,6.6,2.511111111111111,3.3777777777777778,1.4666666666666666,0.5111111111111111,0.8444444444444444,2.7
72,2017.0,Omri Casspi,SF,28.0,36.0,9.9,17.86111111111111,5.166666666666667,1.0277777777777777,3.111111111111111,0.8055555555555556,0.08333333333333333,0.6388888888888888,2.10647
73,2017.0,Willie Cauley-Stein,C,23.0,75.0,16.4,18.946666666666665,8.146666666666667,1.0666666666666667,4.533333333333333,0.92,0.6,0.7066666666666667,3.70416
74,2017.0,Tyson Chandler,C,34.0,47.0,16.6,27.617021276595743,8.446808510638299,0.6382978723404256,11.46808510638298,1.425531914893617,0.5106382978723404,0.7021276595744681,13.0
75,2017.0,Wilson Chandler,SF,29.0,71.0,14.9,30.943661971830984,15.732394366197184,1.9859154929577465,6.464788732394366,1.6056338028169015,0.4225352112676056,0.7323943661971831,12.016854
76,2017.0,Marquese Chriss,PF,19.0,82.0,12.3,21.25609756097561,9.182926829268293,0.7317073170731707,4.2439024390243905,1.3170731707317074,0.8536585365853658,0.8170731707317073,3.0738
77,2017.0,Rakeem Christmas,PF,25.0,29.0,10.4,7.551724137931035,2.0344827586206895,0.13793103448275862,1.9310344827586208,0.27586206896551724,0.20689655172413793,0.10344827586206896,0.172552
